id,tweet_text,categorie
arct_train_9975147_345_A34QZDSTKZ3JO9,Reason: Miss America gives honors and education scholarships. Claim: Miss America is good for women,implicit
arct_train_3651490_320_A104V8NZIQFN2F,"Reason: I found online courses to not be well designed, flexible, or conducive to discussion. Claim: Online classes are not the best way to teach",implicit
arct_train_5445948_307_A247LJDZOGXJK6,Reason: Interns are replacing employees. Claim: Unpaid internship exploit college students,implicit
arct_train_5477096_432_A34QZDSTKZ3JO9,Reason: If home schooled children get to pick a high school sports team high school kids will want to be able to play for other schools. Claim: Home-schoolers should not play for high school teams,implicit
arct_train_13303812_159_A2GHGJP29KRWOQ,"Reason: Labeling a product with ""natural"" is an attempt to portray the food as ""healthy"", but is often not the case. Claim: Restrict use of the word ""natural"" on food labels",implicit
arct_train_3526042_138_A3TKD7EJ6BM0M5,Reason: The parking problems caused by the bike lanes are ruining attractions. Claim: New York's bike lanes are not working,implicit
arct_train_5475504_203_AE861G0AY5RGT,Reason: If they play for high school team maybe they can overcome the prejudice of being home schooled. Claim: Home-schoolers should play for high school teams,implicit
arct_train_6022328_10_A1CF6U3GF7DZEJ,"Reason: Humans are naturally omnivorous, as dictated by our physiological needs, and veganism is a health risk. Claim: Veganism is not good for everyone",implicit
arct_train_10396017_407_A1CF6U3GF7DZEJ,Reason: It can provide more vocational training which will better prepare students to handle their future jobs better. Claim: High school should last six years,implicit
arct_train_6953350_0_APW9F8OTJ4KXO,Reason: Israel doesn't appreciate what we give them. Claim: Supporting Israel hurts,implicit
arct_train_11965227_391_A3TKD7EJ6BM0M5,Reason: A regulated market has replaced an unregulated and dangerous black market. Claim: Colorado didn't go too far with pot,implicit
arct_train_9952573_220_A1HKYY6XI2OHO1,Reason: Salt shakers permit diners to control the amount of salt in their food. Claim: Salt should have a place at the table,implicit
arct_train_7545952_11_A1CF6U3GF7DZEJ,Reason: Reality shows cause me to die a little whenever I see them advertised even though I have watched them at times. Claim: Reality shows are worse than other TV,implicit
arct_train_8832426_496_A3C9GGDXBZW62D,Reason: Intramural and interscholastic have a place but not college sports which just train athletes for professional teams. Claim: Drop sports program in undergraduate schools,implicit
arct_train_10346152_0_A2JKETV64OU7DY,Reason: Cameras should monitor police officers 24/7. Claim: Police officers should be required to wear cameras,implicit
