id,tweet_text,categorie
implicit_hate_0,""" : jewish harvard professor noel ignatiev wants to abolish the white race via #wr "" "" """,implicit
implicit_hate_1,"rt : tune in today's jmt for my interview w / robert spencer on "" the complete infidel's guide to iran ! "" "" """,implicit
implicit_hate_2,: : hate posters ? you want hate buddy ? read the koran . goo ...,implicit
implicit_hate_3,: hunt for white women : black racist serial killer confesses to 41 murders,implicit
implicit_hate_4,: looks like he was a fan of the islamic jew-hate reza aslan peddles as critique of i ...,implicit
implicit_hate_5,antiwhites hate white solidarity . their hate for white european self preservation knows no,implicit
implicit_hate_6,are forever white racemass murderers ! ! !,implicit
implicit_hate_7,i think white people are waking up in unprecedented numbers,implicit
implicit_hate_8,i'm not a racist at all but i mean all the numbers are saying caucaisian people are set to disappear soon so i'm for keeping the race,implicit
implicit_hate_9,its a planned growth of africans & a planned elimination of whites #whitegenocide #kalergi #maga #tcot #trump #altright #sjw #buildawall,implicit
implicit_hate_10,its ok to be white - the book,implicit
implicit_hate_11,now it is full of jew and government infiltrators .,implicit
implicit_hate_12,only racist if you're white this just makes you smart .,implicit
implicit_hate_13,prof kmac is right all along that jews have been manipulate white-euro people,implicit
implicit_hate_14,they say they are anti-racist but what they really are is anti-white ! via,implicit
implicit_hate_15,""" : latest unhinged anti-white rant at #ferguson "" "" ugly black lesbian . #negrogeddon """,implicit
implicit_hate_16,""" : new zealand : white faces will soon be a minority via "" "" """,implicit
implicit_hate_17,""" optics frat "" "" - i . e . "" "" i'm interested in being a spectacle for the anti-white media not organizing white people into a cohesive pro-white movement . "" "" being a clown will get your media coverage . is your goal is to get on tv for a 2 minute hate ? """,implicit
implicit_hate_18,""" we must have an all-white america ... in which our children and our grandchildren will play and go to school with other white children . "" "" - glr """,implicit
implicit_hate_19,""" what our bros & sis experiencing in me : what is coming for us in west . must rise up and awaken . "" "" #bgun """,implicit
implicit_hate_20,"african "" refugee "" "" was only here nine days before raping a woman | full story : """,implicit
implicit_hate_21,"and of course "" anti-racist "" "" is a code word for "" "" anti-white "" "" . "" "" self-hating jews "" "" are nothing compared with self-hating white people . """,implicit
implicit_hate_22,"i like jared taylor . "" he white "" "" """,implicit
implicit_hate_23,"race cucks like paul ryan should be banished to live in a "" diverse "" "" neighbrhd if they want t spout such nonsense """,implicit
implicit_hate_24,"right ? what good is "" white supremacy "" "" if it leads to a white minority . """,implicit
implicit_hate_25,"rt "" : proud white women speak out against white genocide ( video ) via "" "" """,implicit
implicit_hate_26,"rt "" i hate you all "" "" - racist note from the black boy who raped his white teacher & slit her throat via #wr """,implicit
implicit_hate_27,"rt : how #jews feel about #whitepeople - "" the white race is the cancer of human history . "" "" - jewess susan sontag #hate #israel # r ... """,implicit
implicit_hate_28,"rt : white racialists rally in edmonton alberta and london ontario as a commemoration of "" white pride worldwide day "" "" ... """,implicit
implicit_hate_29,"rt another hate hoax : police nab notorious "" white supremacist "" "" who drew swastikas around a college """,implicit
implicit_hate_30,"rt australia returns non-white invaders ; jewish "" human rights "" "" groups flip out | more : """,implicit
implicit_hate_31,"rt black people can't be racist "" : ohio man pushes white jogger into traffic because he "" "" hates whites "" "" via """,implicit
implicit_hate_32,"rt dawa = > barbaric totalitarian political ideology intent on enslaving all human beings for "" allah "" "" imagine founding a club on these principles """,implicit
implicit_hate_33,"rt since when was jesus "" mixed race "" "" ? ... please stop trying to stick jesus and christianity into your criminal communist ideology . don't tell me you're like those bbc anti-white racists that depict julius caesar and achilles as black men in the name of "" "" diversity "" "" and inclusiveness """,implicit
implicit_hate_34,"they smother the good white people of america ! they need to be hung brother "" south "" "" ! """,implicit
implicit_hate_35,"uk sport displays anti white racism when they cut funding for "" white sports "" "" prior to tokyo olympics ! """,implicit
implicit_hate_36,"us should have leaders this brave rt : "" i don't want blacks in estonia ; this is a white country "" "" via """,implicit
implicit_hate_37,#altrightmeans becoming great again .,implicit
implicit_hate_38,#aryan men & women will either rise up to fight for their heritage children & future or the white race will cease to exist . choose now .,implicit
implicit_hate_39,#blacklivesmatter and again . black on white crime ! what a surprise ...,implicit
implicit_hate_40,#defundnfl stop paying to make people who hate you your nation your people rich . #wakeupwhiteman,implicit
implicit_hate_41,#iffootballdidntexist white men would fulfill their tribal instinct by standing up for their own kind not worshipping negros who hate them .,implicit
implicit_hate_42,#kkk i do not mind your booklet . how can i support ? ? ?,implicit
